,224
item_id,1181261929
item_url,https://auctions.yahoo.co.jp/jp/auction/1181261929
platform,unknown
title,■□Avid HD OMNI Pro Tools HD オーディオインターフェース アビッド□■027389010J□■
category_lvl1,楽器、器材
category_lvl2,DTM、DAW
category_lvl3,オーディオインターフェース
closed_price,20350
start_price,1000.0
bids,26.0
end_time_text,04/23 20:16
free_shipping,0
unused_flag,0
image_url,https://auc-pctr.c.yimg.jp/i/auctions.c.yimg.jp/images.auctions.yahoo.co.jp/image/dr000/auc0104/user/ee84af043f7b6788afe15e4174227712e1b601ded579c06909e0bad1acad24e0/i-img800x600-17447971171067o20f3x394.jpg?pri=l&w=300&h=300&up=0&nf_src=sy&nf_path=images/auc/pc/top/image/1.0.3/na_170x170.png&nf_st=200
seller_url,https://auctions.yahoo.co.jp/seller/D4d7TVjbAyuTvxemLR7jiV1bYYcwR?user_type=c
seller_id,D4d7TVjbAyuTvxemLR7jiV1bYYcwR
seller_rating_pct,99.3
ship_from,福岡県から発送
updated_at,2025-08-16 04:43:26
